SceneName,Summary
Prologue,요괴에게 죽기 직전에 구출된 신입 요괴 사냥꾼 '진월'. ENTER 하지만 그를 구출한 건 구미호였고... ENTER 그녀는 진월의 혼령을 빠앗아 협박한다. ENTER 결국 진월은 그녀의 뒤를 따라 갑작스러운 여정을 떠나게 된다. 
Stage1-1_Start,생각 이상으로 어마어마한 숫자의 요괴들. ENTER 하지만` 구미호는 아랑곳 하지 않고 검을 뽑아 요괴들을 베어나간다.
Stage1-1_Middle,인간과 과거에 인간이었던 요괴에게서 나오는 따뜻함인 [온정]. ENTER 구미호는 온정을 역겨워하지만 강해지기 위해 어쩔 수 없이 이를 받아들인다. ENTER 그리고 그녀는 자신을 수호령이라 부른 진월에게 화를 낸다.
Stage1-1_Last,서로 통성명을 하고자 자신의 이름을 밝힌 신입 요괴 사냥꾼 진월. ENTER 하지만 구미호에겐 이름이 없었다. ENTER 그런 그녀에게 foxName이란 이름을 주는 진월.
Stage1-2_Start,둘의 눈앞에서 불타고 있는 마을. ENTER 마을 사람을 구해야 한다는 진월과 달리 그녀는 신경쓰지 않는다. ENTER 하지만 무심한 모습과 반대로 그녀는 검을 뽑아 마을로 다가가는데...
Stage1-3_Start,마을에서 사람을 잡아먹으며 창귀를 만들어내고 있는 호랑이 요괴이자 팔마 금강호. ENTER 금강호는 그 둘의 모습에 놀라워한다. ENTER 금강호는 구미호를 먹어치우겠다며 덤벼든다.
Stage1-3_Last,금강호를 처단하는 구미호. ENTER 마을 사람들은 그런 둘에게 감사를 표한다. ENTER 하지만 그녀는 미련없이 그저 떠나란 말과 함께 자신의 목적지를 향해 발걸음을 옮긴다.
Stage2-1_Start,요괴사냥꾼답지 않은 진월의 모습에 당황하는 구미호. ENTER 그런 그녀는 진월의 질문에 처음으로 수호령에 대한 이야기를 해준다. ENTER 그런 둘에게 다음 팔마인 장인의 요괴들이 공격해오는데...
Stage2-1_Middle,요괴의 힘의 근원인 영기를 구슬에 넣는 구미호. ENTER 하지만 그 힘은 곧 진월에게 흡수되고... ENTER 그녀는 그가 퇴마사의 혈통임을 알아본다. ENTER 그녀는 그를 통해 자신의 무기의 힘을 강화한다.
Stage2-1_Last,자신이 퇴마사라는 존재란 걸 알게되는 진월. ENTER 무능한 자신에게 특별한 힘이 있다는 걸 알고 기뻐하는 그에게` ENTER 그녀는 과거에 요괴 사냥꾼들이 퇴마사들을 살해했다는 진실을 알려준다. 
Stage2-2_Start,선배들의 부서진 퇴마 도구를 발견한 진월. ENTER 선배들이 잘못된 건 아닌지 걱정하는 그였지만. ENTER 그는 예상못한 foxName의 격려를 받고 나아간다.
Stage2-3_Start,요괴 사냥꾼과 선배들에 대해 의심하는 진월. ENTER 하지만 그는 먼저 선배들의 흔적을 찾는데 집중한다. ENTER 하지만 그 흔적 끝엔 죽은 선배들만이 있었다. ENTER 그 위엔 팔마이자 거대한 거인인 장인이 있었는데...
Stage2-3_Last,인간에 대한 증오심과 함께 그녀에게 과거의 실수를 반복 말라며 충고하고 죽는 장인. ENTER 진월이 실수에 대해 물으나 그녀는 확실한 대답을 주지 않는다. ENTER 그저 진월은 죽은 선배들을 묻으며 눈물을 흘린다. 
Stage3-1_Start,아름다운 천화 언덕의 풍경을 보고 감탄하는 진월. ENTER 하지만` 앞으로 가게 될 곳이 악명높은 사령의 땅인 걸 알게된 진월은 경악한다. ENTER 거기에 엎친데 덮친격으로 하늘에 요괴들이 나타나는데...
Stage3-1_Last,하늘에서 공격하는 비행 요괴들... ENTER 그들을 지휘하는 팔마 호문조를 잡아야 하는 진월과 foxName. ENTER 압도적으로 불리한 상황에서 그녀는 한 가지 묘수를 낸다.
Stage3-2_Start,퇴마사인 진월의 힘을 이용해 폭풍을 불러낸 foxName. ENTER 하지만 비행 요괴들 역시 추락을 막기 위해 덤벼오고` ENTER 그녀는 진월을 지켜가며 싸우기 시작한다.
Stage3-2_Last,결국 폭풍을 불러내 요괴들을 떨어뜨리는데 성공한 일행. ENTER 그녀는 호문조에게 가기 전에 진월이 한 말에 대해 언급하며 부끄러워한다. ENTER 그리고 그걸 황급히 설명하는 진월의 모습을 보며 옛 인연을 떠올린다.
Stage3-3_Start,추락한 채 땅에 있는 호문조. ENTER 그러나 호문조는 여전히 의기양양한 모습으로 둘에게 팔마로서의 위용을 내보인다.
Stage3-3_Last,퇴마사에게 당했음에도 퇴마사를 또 동료를 둔 그녀를 비웃는 호문조. ENTER 구미호는 호문조의 입을 막으려 했으나 이미 이야기를 들은 진월은 그녀에게 진실을 요구한다. ENTER 그녀는 검을 들이밀며 이야기하기를 거부했으나` 그럼에도 그는 끈질기게 진실을 알고 싶어한다. ENTER 결국` 언젠가 진실을 이야기 해주기로 약속한다. ENTER 그런 와중` 한 검은 머리의 여우 소녀가 둘을 내려다 보고 있는데...